店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
桂花ラーメン 新宿西口店,3.26,3042,277,"新宿西口の佳花ラーメンに行ってきたのでレビューしたいと思います。


どうも！みなさん！おはこんばんにちは！お初のお方は初めまして！
ワールドワイド・シュバルツ・ネッシー１...詳細を見る | 23年9月　初訪問

各線新宿駅西口から徒歩5分ほど繁華街にある古めのビル1階で営業している著名な熊本ラーメンのチェーン店

平日11時45分店内入店
なぜだかラーメン＆...詳細を見る | ２０２３年３月再訪問
  訪問したのが平日の１４：２０頃。軽く食べる為に向かいました。先客は３組でした。

  今回は『桂花拉麺』の食券を買って店員さんに渡します。出来上がり...詳細を見る",ラーメン
大醤,3.08,201,19,"ある日の晩の早飯は当店へ。とある先輩から聞いた手っ取り早い健康法「何も食べない時間を16時間もうける」≒朝食〜晩飯が8時間内、を実践しているのですが、朝が5時とか6時なので、晩飯を...詳細を見る | ■ 事前情報
来店時の評価 ★3.08
この日はラーメンを食べたい気分だったので、富士見台駅近くのラーメン屋へ。平日の15時前で先客1名、後客5名。こんな時間にも関わらず、それ...詳細を見る | ガールズとランチ予定していたお店が定休日で
以前からチビ姫が行きたがっていたこちらへ

私は王道豚骨の白
そうそう、この味　この麺！
高菜や紅生姜で　途中味変
はぁ〜　...詳細を見る",ラーメン
ONORI,3.38,816,47,"初訪問。
日曜日12時過ぎに行くと、3人が外で並んでました。
10分くらい待ったでしょうか、ようやく入店。

オーダーは、まぜそばと肉飯にしました。合計1,000円。
小銭も千円札もなかったので、券売機で電子マネーが使えるのはありがたい。

ラーメンを作るところの真正面の席だったので、...詳細を見る | 東京都大田区大森西6丁目15-17の梅屋敷商店街にある「ŌNORI」さんで、ŌNORIラーメンの味玉付きをいただきました。（950円也）　

麺の大盛りが無料です。大盛りにして...詳細を見る | 金曜日の夕方に3回めの訪問。
まぜそばに初挑戦！

店内は8割ほど埋まっていました。
注文は券売機で、今回はまぜそばを注文。
大盛りも値段同じなので大盛りにします。
一...詳細を見る",ラーメン、油そば・まぜそば
MENYA NAKAGAWA,3.70,16545,591,"鶏塩らぁ麺 らぁ麺大盛

平日13時過ぎの訪問。待ちなしながら12席程度がほぼ満席でした。未食だった鶏塩らぁ麺の食券を購入。

卓上調味料は胡椒と黒七味。5分程で着丼。具材は醤油と同様に鶏豚チャーシュー/カイワレ/白髪ネギ/材木メンマ/海苔。スープをひと口。鶏出汁にハマグリ出汁と藻塩のカエシ...詳細を見る | 池袋駅西口改札を出て構内地下道を徒歩5分ほどでC6出口へ。そこを出てから更に徒歩4分ほど。

平日20:25頃の訪問。外待ちなし。内待ちなし。

早速入店し、券売機で「味玉...詳細を見る | 池袋西口から歩いて7～8分ぐらいで到着
この辺りは人気の飲食店が多いエリアですね～
 
雨降りの17時半頃に到着　店内は3割ぐらいの入りでした
良い時間帯はかなり並ぶ人気店...詳細を見る",つけ麺、ラーメン
中華タカノ,3.39,2640,119,"東京都足立区竹の塚６丁目にある中華料理のお店「中華タカノ」です。最寄駅は東武スカイツリーラインの竹ノ塚駅になります。
 
「中華タカノ」へは夕食の時間帯に行きました。
 
...詳細を見る | 金曜日。今日も休みで4連休にしています。10:00に1000円カットの床屋へ行き、隣の中華タカノさんへ(10:20)。

通勤経路で毎日通りかかっていて、引越し当日から気になっ...詳細を見る | Youtubeの「アンジャッシュ渡部がいつか地上波のグルメ番組に出ることを夢見てロケハンする番組」で紹介されていた堀切菖蒲園の中華タカノの姉妹店？（もしくはこっちが本家かも）である...詳細を見る",ラーメン
つばめ,3.23,633,43,"フォーリス1階のフードコートにある、府中では有名な老舗のラーメン屋の系列店。
オープンした当初から気になっていたのですが、
芳しくないレビューを拝見していたりするうちにこの日ま...詳細を見る | 新しくできたミッテン府中の１階(正確にはフォーリスの１階)にあります。
フードコートになっていて、数件お店がある中の一軒でした。

かつてここは「新特一番」だったと記憶してい...詳細を見る | 個人的には、つばめラーメンの方が好みです。
久しぶりに頂きましたが、麺が少し細くなった様です。
トッピングのサービス券付きで、次回から無料トッピング出来ます。

R5.12...詳細を見る",ラーメン
横濱家系ラーメン 川島家,3.23,1901,70,"渋谷に6月21日オープンした「横濱家系ラーメン 川島家」。
大塚、西川口、蕨、十条と勢いに乗る「野中家」直系のお店です。

先日伺った十条「三代目 野中家」は、「野中家」系の中では唯一クラシック寄りで比較的アッサリ。
その際聞いたところ、「川島家」は「野中家」本店に近いド濃厚家系とのことです...詳細を見る | 川島家 (東京/渋谷)
東京都渋谷区渋谷2-19-20 

《味玉ラーメン 並 ¥1,000》
《ライス食べ放題 ¥100》

#川島家

JR山手線、湘南新宿ライ...詳細を見る | 今日は朝から時間を作る事が出来たので、馬橋、船橋法典、東砂と回って来ましたが予定していたもう1軒は振られてしまっていたので補填はどうしようか？って感じで迷いましたが渋谷まで移動して...詳細を見る",ラーメン、つけ麺
鷹楽,3.07,255,13,"コロナ前は2軒目居酒屋として重宝していた鷹楽。
2軒目の画像撮るかってなると撮らないから、割と回数行っているけど初投稿。

酎ハイなどの割ものが¥400〜¥450と安いのであ...詳細を見る | 遅くまで残業した帰りに、食べログで見つけて一人でお邪魔してきました。

入った瞬間の第一印象は""店員さんの無愛想さ""。
ほかのどなたかも同じようなコメントをされていたので、き...詳細を見る | 三鷹駅北口吉祥寺方面に線路沿いを徒歩3分
土曜日の22時過ぎに、ラーメンと生ビールを求めて訪問。

1人でも入りやすい雰囲気。

梅きゅう350円、焼き棒餃子500円
...詳細を見る",居酒屋、ラーメン
黄金の華 亀戸店,3.06,770,42,"８種の餃子食べ放題は１７３８円。それに飲み放題１１４２円を付けると２９８０円。安い！
駅ビルに入っているので家賃高いだろうに。

平日限定でしかも９０分飲み放題だけど内容がい...詳細を見る | 平日16:30ころ、中途半端な時間でやっているお店を探して、こちらへ訪問✨
亀戸駅前アトレの6階。先客は2組。
失敗しない坦々麺を頼もうと思っていたのですが、せっかくなので他に...詳細を見る | 2023年6月

子どもと２人で日曜ランチです。
このフロアの他の店は軒並み1,000円以上。
比較的リーズナブルなこちらへ。

店内はキレイです。流石の駅ビルアトレ。...詳細を見る",中華料理、餃子、刀削麺
日高屋 錦糸町北口店,3.04,371,73,"味噌ﾗｰﾒﾝ+半ﾁｬｰﾊﾝ+3餃子
半ﾁｬｰﾊﾝ+餃子3個ｾｯﾄ（味噌ﾗｰﾒﾝ）
大宮担々麺 餃子ｾｯﾄ
【訪問した理由】
今日はちょいと仕事が忙しく(T_T)
早い時間...詳細を見る | 東京都墨田区､JR総武線 錦糸町駅北口から徒歩2分程の処にあります。

★2022年1/27再訪★

何か無性にらーめんを食べたくなる季節です!
今日はそのなかでもタンメ...詳細を見る | チェーン店らしいのですが見たことがなかったため夜遅くまで開いていたこちらの中華屋さんに行きました。
店内は昔からありそうな中華屋さんみたいな感じです笑

レバニラとチャーハン...詳細を見る",ラーメン、中華料理、食堂
個室中華 頤和園 溜池山王店,3.48,14948,374,"ランチでは何度もお邪魔している坦々麺の名店、頤和園ですが、夜は初めて。
驚いたのは飲み放題付きのコースで5500円から。
これはかなりお得です。
味とサービスのクオリティは間違いなし。
これはちょいちょいヘビロテ出来そうです。
美味！詳細を見る | 東京メトロの国会議事堂前駅・溜池山王駅から徒歩数分の場所にあるこちらのお店、大通りに面して入口がありますが、近隣のサラリーマンや国家機関の関係者などに大人気のお店がこちらです。とに...詳細を見る | イベントの打ち上げで初めてお伺いしたのですが、火曜日の夜にもかかわらず店内は満席。官公庁に囲まれた場所柄、店内はスーツ姿のおそらく男性官僚の方々がほとんどで、カジュアルな服装の...詳細を見る",中華料理、飲茶・点心、担々麺
味福あさの,3.39,4516,80,"初訪　202405（No.5480）
１．訪店目的
・当日は広尾エリアでのネタ拾いで、
　ランチのお店としての選店

２．お店の情報
・食べログのジャンル：ラーメン、お...詳細を見る | 平日昼に訪問。
カウンターに通され、座ると注文用の紙とペンが...目当ての料理をチェックして渡すシステム。
ミスオーダーが多いのか...ペーパーレスの現代、果たしてこれが効率的...詳細を見る | 広尾には美味しいパン屋やケーキ屋が多くある。

有栖川公園とは反対側の商店街を歩くと銭湯があったり、かの日本一とまで言われるこだわりのイタリアン、ペレグリーノもこの先に所在する...詳細を見る",ラーメン、おでん、居酒屋
めんめん かめぞう,3.43,3850,113,"白山通りの鳴門鯛焼本舗の横の通りを入ったお隣に、
新博多とんこつラーメンの黄色い袖看板が出ています。
正面には『出没！アド街ック天国放映ラーメン』の看板。
この地で、2007...詳細を見る | 2022年11月

祝日、今回は神保町でのラーメン活動になっとります。

その2軒目。。は、博多豚骨ラーメンなんぞをいただいちゃおかなと。


「めんめん かめぞう」...詳細を見る | この日は神保町のめんめんかめぞうに。
神保町の白山通り沿いにあります。神保町と水道橋の真ん中あたり。

行きたくなったので行ってみた。
昔、来たような来たことがないような…...詳細を見る",ラーメン
麺ロード 大森店,3.25,581,47,"午前１１時１０分ごろ、同行者１名計２名で訪問しました。
　お店に入って、左奥の４人掛けテーブル席を確保しました。前回と同じ場所です。
　私は、塩ラーメン 770円を、同行者は...詳細を見る | お昼時にフラッと立ち寄り。
サラリーマンで賑わっていました。
つけ麺を注文。
スープはあっさり系ではあるが味がしっかりしている。
スープ割りがなしでも飲めてしまうスープです...詳細を見る | 本来はこってりが大好物の私ですがたまーに食べたくなる喜多方ラーメン。^_^
歩いてると発見し即訪店しました。
たまにはサッパリ醤油でとビール片手に頂きます。しかし、…ニンニクの...詳細を見る",ラーメン、餃子
鳥料理 有明,3.53,32579,330,"今日は会社でお世話になった先輩の送別会。
先輩の希望から「門仲で」と。
門前仲町。もちろん知ってはいるが知っている店がない
と、思ったら、友達からこちらをオススメいただきました。

店内はとても清潔感があり、上品。
前菜からいただきますが特に美味しかったのが豆腐料理…
って、まさかの写真撮り忘れ…
見た目は普通のお豆腐なんですが、箸を入れるとほろほろと素麺状にほどけ…
わからない...詳細を見る | 門仲のいつも行く方向とは違う富岡八幡宮方面にお店はありました。金曜日の夜なのでお店はとても賑わっていました。
軍鶏の味噌鍋は鍋の中の鶏肉の上に大きな椎茸のような味噌が載っているように消えました。
それを見ながら唐揚げや温玉やほぐすとそうめんの塊のような豆腐を食べました。箸休めのキャベツもそれぞれ...詳細を見る | 本日、ご紹介するのは東京・門前仲町にある鳥料理 有明さん♪

ここ門前仲町は富岡八幡宮を始め、多くの神社があり、
現在は商店街の活動が活発な街です

そんな門前仲町にお店...詳細を見る",居酒屋、鳥料理、ラーメン
無冠  阿佐ヶ谷,3.34,3242,156,"2024年8月14日（水）

昨夜は退社してから阿佐ヶ谷まで移動してこちらの店を初訪問。

こちらは中野坂上の「むかん」が先月中旬に開業したばかりの5号店です。

ただ、第1弾メニューのTKMを先に「横浜店」で食べた結果、バターの乳感が苦手であった事から第2弾を待っていた次第です（苦笑）...詳細を見る | 看板の信長に最後の晩餐とは
どんな意味と考えつつ
券売機で豚骨ラーメンと明太子替玉をポチっと。

一回り小ぶりに見える丼には博多ラーメン
色よい大きなチャーシューと
キ...詳細を見る | 【総評】
スープメンや中野坂上と五反田の無冠など小松崎さんの虜になっているため、こちらも来ないとね。開店当初はTKMの提供でしたが、先日からは豚骨の提供になったみたいです。口コミ...詳細を見る",ラーメン
竹屋 田無店,3.28,940,62,"この日訪問したのは、「竹屋 田無店」。

コロナ渦の中、田無に足を運んだ際は何度か立ち寄って
みましたが、臨休なのか長期休業なのか営業されている
様子は無く、田無周辺のラー...詳細を見る | 2023年4月19日（水）夕食。
1日村山で仕事。夕食は西武線途中下車。一昨日は小平、昨日は花小金井に行ったので、今日は田無に行ってみた。
北口に出て、田無の駅前は立派になった...詳細を見る | 「2021年9月訪問　アーカイブ掲載」

法務局に行った後、近くの「さらしな」で、
せいろでも手繰ろうとして行くと、お休み。
ＰＬＡＮ－Ｂは「竹屋」グループの３号店の
「...詳細を見る",つけ麺、ラーメン、油そば・まぜそば
烏蝿館 渋谷店,3.33,4964,60,"今日みたいに寒い日は身体あたたまりたいですよね。
しかも薬膳的な感じで、じんわりと身体の内側から…

そんな気分にピッタリなのが、今回行ってきた香港で人気だというマオツァイ専門店。
烏蝿館と書いてウインカンと読むのだそう。
四川あたりで生まれた麻辣湯のような火鍋のような、そんな存在。
公式サイトを見ると尖沙咀に本店があるようです。
漢字の名前すごいなと思ってたら、英語名もThe Fl...詳細を見る | **Uinkan #Shibuya #烏蠅館 @uinkanjp**

香港で人気のマオツァイ専門店「烏蠅館」が初めて日本に上陸し、渋谷にオープンしました！香港から直輸入された...詳細を見る | 道玄坂に出来ていた、冒菜（マオツァイ）専門店
気になっていたので、行ってみました。

お店に入ると長めの通路を曲がると、
広い！こんなに広いお店だったのかとびっくり
新し...詳細を見る",四川料理、ラーメン、居酒屋
壱角家 吉祥寺駅前店,3.19,98,21,"東京都武蔵野市吉祥寺本町。所謂、資本系の横浜家系ラーメン店です。運営は、壱角家(いちかくや)・山下本気うどん・情熱のすためしどんどん等幅広く外食チェーンを展開する株式会社ガーデン。...詳細を見る | 吉祥寺のハモニカ横丁に「壱角家（いちかくや） 吉祥寺駅前店」が2023年12月11日(月)にオープン！

吉祥寺の南口にあるラーメン屋「吉祥寺家」は姉妹店です。

横浜家系...詳細を見る | たまたま通りかかったら、本日サービスデーでした。暑いからか、人気がないのか分かりませんが店内ガラガラでした。クソ暑いけど、にんにく・豆板醤をがっつり入れて汗だくで食べました。ラーメ...詳細を見る",ラーメン
憩い麺場 海老はる,3.09,164,11,"平日の11時15分に入店、先客はおそらく1名。たまたま通りかかりワンコインでつけ麺が食べられるということで予定変更！居酒屋の間借りなので4人テーブル席に座ります。
注文は6月のイ...詳細を見る | 東京都大田区蒲田5丁目19-1の蒲田リカム6ビル3階にある「憩い麺場 海老はる」さんで、濃厚エビトマトつけ麺をいただきました。（980円也）野菜増量無料なので少し増量しました。
...詳細を見る | 今日は海老白湯味噌バターラーメン（キャンペーンで500円）＋ポイントカードで味玉無料

海老トマトつけ麺ほどのインパクトはなかったけど確かに濃厚でバターもたっぷり10gくらい乗...詳細を見る",ラーメン、つけ麺
銀座らぁ麺 しら石,3.61,8812,282,"銀座で朝６時まで営業している銀座らぁ麺しら石。
最近は炭火焼き鯵煮干しそば、バラチャーシュー追加の一択。麺はかためでお願いします。あっさりしたラーメンなので深夜に食べても罪悪感が少ないです。優等生のラーメンで滋味はありますがパンチに欠ける印象。菅野製麺所の中細ストレート麺と淡麗煮干しスープ。完成度...詳細を見る | 今日は残業で20時になりました。どうせ行きつけの飲み屋にも間に合わず、かといって何か食べて帰りたいと思い、ずっと宿題になっていたお店でラー活することにしました。1年前に銀座のクラブ...詳細を見る | 東京・銀座に位置する「銀座らぁ麺 しら石」。お昼ごろから早朝まで通しで営業しており、いつでも美味しいラーメンを楽しめます。今回は醤油ラーメンを体験してきました。

同店のスープ...詳細を見る",ラーメン
豊島家,3.09,318,48,"毎月１１日は豊島家の日らしい。

壱角家も１１日を壱角家の日って言ってセールやってるな。
同じ系列なんでしょうね、多分。

だってメニューはまったく一緒。
店に入っても...詳細を見る | MAX塩ラーメン(大)
ライス(18:00~)は100円で食べ放題

疲れた体に家系の塩味はとにかく沁みます。
柔かいチャーシュー、程よい硬さの中太麺。
ある程度ラーメン...詳細を見る | サンシャイン60通りから少し横道に入った場所にある、横浜家系ラーメンが食べる事ができるラーメン屋。

今回はお店オススメNo1『MAXラーメン塩（1020円）』を注文

M...詳細を見る",ラーメン
ちくせん,3.21,405,28,"n回目

以前、複数人で行った時に、仲間が麻婆豆腐麺を食ってて、美味そうだったので、チャレンジ。

四川みたいな辛味と痺れ、痛みみたいなものは無いが、しっかり唐辛子の辛味を...詳細を見る | 東京・三鷹にある町中華。
12時ちょっと前から満席状態が続く人気店です。
単品からセット物まで、メニューが豊富で注文悩んでしまいます。

《ちくせん》のランチ。野菜炒めセッ...詳細を見る | ちくせん @ 東京都三鷹市 @ 中華料理、ラーメン

三鷹で40年以上の歴史を持ち、2018年に二代目になった老舗町中華です。

JR中央線三鷹駅南口から中央通り商店街を南...詳細を見る",ラーメン、中華料理
タナカタロウ,3.54,2670,118,"スープまで飲み干せる飽きの来ないラーメン。チャーシューは逸品。
【2024年30杯目】
今日は定期的に食べたくなる荒川区町屋の「タナカタロウ」へ行ってきた。
支那ソバのスープは町屋界隈で唯一無二の味でずっとハマっている。
東京メトロ千代田線の町屋駅から徒歩10分以上あるが人気店である。
こ...詳細を見る | この日は愛犬兄弟のおにいちゃんのトリミング。
前日、辛い料理が食べたくて検索。
前は食べログで検索していましたが、最近の食べログの
検索機能は低下しているので、最近は『辛メー...詳細を見る | 会社帰り...ふと思いたち町屋駅で途中下車。夕飯がてら「タナカタロウ」へ。思ったより駅から離れていて、徒歩10分といったところ。

食べログで事前に確認し「たんたんつけ麺」が良...詳細を見る",ラーメン、つけ麺
焼売のジョー 立川店,3.04,1626,33,"急遽立川集合となるが金曜日の立川侮るなかれ
行きたいお店は全滅。
ならばと近くにあったこちらへダメ元で突撃
片付け次第入店可能との事。勿論待ちます！
とりあえず店にありつけ...詳細を見る | 餃子とビールは定番だけど、焼売とビールという組み合わせもあるんですね。立川でお店を探していると駅近くに人が入っている店を発見。この店、周辺は、昔ながらの渋い居酒屋が多いんですが、こ...詳細を見る | ストロングサービスが通し営業で登場！！どれだけイケるのか！急に春らしい平日真っ昼間から昼呑み！！

ルールは
１アプリダウンロード
２ワンドリンク＋ワンフード（食べ放題焼売...詳細を見る",中華料理、居酒屋、ラーメン
らーめん処 くろ助,3.39,1638,48,"この日訪問した先は、新高円寺から阿佐ヶ谷駅南口に
移転オープン(2023年5月10日)した「らーめん処くろ助」

移転前の新高円寺の店舗にはオープン直後の2019年11月
に2度訪問し、醤油と塩のラーメンを頂きましたが、
オーソドックスな動物系と魚介の清湯スープで、とても
美味しかった記...詳細を見る | とまそんのブログ： https://www.ramentabete.com/entry/2023/11/04/000000
とまそんのYouTube： https://youtu...詳細を見る | JR阿佐ヶ谷駅の南口にある「らーめん処 くろ助」です。以前は新高円寺にありましたが、今年の春頃にこちらへ移転してきました。先日、店の前まで来たのに振られたので再訪問です。お店は阿佐...詳細を見る",ラーメン
俺の空,3.70,30842,1255,"仕事の移動中にランチで訪問。
券売機で全盛らあめん（¥1,300）を購入、10分程度で着丼。

スープを一口、最初に煮干しがガツンと豚骨の動物系ではない、濃縮された魚節のコッテリさとトロミが何とも素晴らしいです。
これだけ濃厚なのにエグみはゼロというすごいバランス。

麺は中細ストレート...詳細を見る | 2001年創業の「俺の空」本店に久しぶりに再訪！
2000年代には絶大なる人気で、当時メディアでは東京一の大行列店と紹介された事もある伝説のお店。

ココの卒業生として有名な...詳細を見る | 2024年58杯目。

『俺の空』で『全盛つけめん』を麺大盛りでオーダー。

今日は朝から客先で作業。
ということで、馬場での客先作業で恒例（？）の俺の空へ1年半振りの訪...詳細を見る",ラーメン、つけ麺
Noodle House Laundry 東京,3.47,12359,242,"午後休の仕事帰り、グランスタへ夜のおやつを買いに途中下車。
ついでにランチも済ませようと気になっていたこちらへ初訪問！

日替わりのクラフトビールは種類豊富で、
アルコール度数なども記載ありで選びやすいですね。

最近ビールが前ほど好きではなかったんだけど、
ここのビールはフレッシュでめっちゃ美味しかった！！

・忽布古丹醸造(北海道) ハシカプ　Alc7%
初めて見たこちらの...詳細を見る | この日は日本橋→茅場町→銀座→東京駅まで歩いた。
ラストは東京駅地下で軽く呑んで食べて帰るだけ。
行ったのはNoodle House Laundry 東京。
エスニック料理に...詳細を見る | 【注文メニュー】
◯カオマンガイ（蒸し） 950円

【待ち時間】
待ち時間無し

【予約】
ネット予約可能（食べログ）
電話予約可能

【ランチ目安予算】
...詳細を見る",居酒屋、アジア・エスニック、ラーメン
ハイデン.コッコFACTORY サマンサ・タマサ 青梅店,3.66,7193,274,"『冷やし・渡り蟹と甘エビの中華そば』900円
TV取材も受ける地域の人気店。
ネット情報で前回頂いた特製メニューの冷やしが出ているということでお昼前に訪問。

蟹味噌がたっぷりと入っていて美味しいです。
漁港料理の冷汁の様な美味しさです。このボリュウムで900円はお得な気がします。
・三...詳細を見る | 駅から少し離れた大通り沿い、個性的な外観で大きくはありませんが近付くとすぐにわかります。

平日の夕方だったせいか並ばずに入ることができ、入り口を入ってすぐに食券機があり購入し...詳細を見る | 平日11時半頃入店
「いらっしゃいませ」に迎えられます。
先客1名提供済
券売機で小ラーメン830円、うずら100円、ブタ100円を購入

席に着き「かため、にんにく無し...詳細を見る",つけ麺、ラーメン、中華菓子
麺酒場まがり 八丁堀店,3.42,2108,102,"カツオ中華1050円、アサヒスーパードライ中瓶680円の計1730円。

東京行った際にいくつかの候補からこちらにしました。インスタで見る日替わりのラーメンがどれも美味しそうでした。夜伺うと、何とラーメン切れ…ですが、カツオ中華ならできるとのことでそちらをいただきました。

スープは、油膜し...詳細を見る | 八丁堀駅からすぐ歩いて2分の裏路地にあるお店。昼はラーメン屋さん夜はラーメン居酒屋と言う二毛作業態。昼の本日の中華(昔ながら)とミニチャーシュー丼をいただきました。具は２種類のチャ...詳細を見る | 透き通った豚骨スープはライトな味付で旨い！
具材もタップリで満足な一杯！

ランチタイムに訪問。

注文したのは、
クリア豚骨　950円

５分位で提供。

【...詳細を見る",ラーメン、居酒屋
上海酒場 代々木西口店,3.04,1539,46,"値上げしてない素晴らしい中華屋さん。
しかーし、レバの数は沢山で嬉しいが、
薄切りのせいか、揚げすぎていて肉が固く、ややパサパサ、旨味がない、うーん残念。
以前は、厚みもあって絶妙な火入れだったのに。たまたまかな？

と思ったら、24年春、値上げしてた
レバニラは750円か・・・
レバニラを食べたくなると、ここに来る。
安くて、おかわりもできる。スープも優しい味です。
日によって...詳細を見る | 代々木駅から明治神宮に向かって、坂を少し下ったところにあります。
店頭ランチメニューを見ますと、この辺りではまあまあリーズナブルな価格もさることながら、11時から22時まで注文で...詳細を見る | ◆ ラーメン登録軒数6922軒目
• 2024年358杯目

◆ 上海酒場 代々木西口店
( 東京都渋谷区代々木 )

◆ 醤油ラーメン
¥ 650
・ 黒酢酢豚
...詳細を見る",中華料理、居酒屋、ラーメン
麺匠 えい蔵 田無店,3.27,1419,84,"2023年9月4日（月）夕食。
1日村山で仕事。夕食は西武線途中下車。また田無。北口のラーメン屋に行ってみた。
18時31分で先客は2組。つまみも出していて、夜は酒を飲んで欲し...詳細を見る | 東京都西東京市田無町。昼はラーメン＆つけ麺、夜はそれプラス豊富な居酒屋メニューと、使い勝手の良いラーメン居酒屋です。2010年オープン。最寄りは、西武新宿線の田無駅。同じ通りを30...詳細を見る | レアな街、田町で飲み。笑
飲みと言いつつ、友人に指定されたのはラーメン屋さん？笑

しかしここが飲めるラーメン屋さんだったのでした。笑
というか平たく言えば町中華使いができ...詳細を見る",ラーメン、つけ麺、居酒屋
伊蔵八味噌らーめん,3.55,6282,331,"2024年5月平日夜に訪問。

スクランブルスクエアでお店を探すも
激混みすぎて、ストリームへ向かってこちらへ。

＊注文は下記＊
▶︎焦がし味噌ラーメン 1,100円
▶︎とろり味玉  150円
▶︎マーボー丼 350円

麺は太麺。
調べていたら、
ナポレオン軒と同じグル...詳細を見る | 三種のラー油の
香がし味噌らーめん 1200円

渋谷をさまよい歩いているうちに着いたSHIBUYA STREAM の2階。
場所がらか強気な値段。どうせ1000円は超えて...詳細を見る | 本日は、渋谷に来ました。
目的は「ライブ」です。
コッチ系のライブは初めてでしたΣ(￣。￣ﾉ)ﾉ
ふぅ〜❤︎
とりあえず用事も終わり、お昼ご飯ですね‼️
渋谷でラーメン屋...詳細を見る",ラーメン
ソイ ソース ラーメン 醤屋,3.12,967,44,"元は下高井戸でやれれていたお店？
Soy Sauce Ramen Janya 醤屋
https://twitter.com/ramen_mikiya?lang=ja

地元...詳細を見る | 白醤油の白ワンタンメン 1130円
味玉 110円

さて本日の麺は世田谷の「ソイソースラーメン醤屋（じゃんや）」さんです。
以前は下高井戸の駅前にあったのですが2022年...詳細を見る | どうも、さぴおです。

この日はウォーキングのついでにラーメン。
家から徒歩(片道2時間くらいまで)でラーメン屋に来ただけなので
これは麺活ではありません。連食もしませんし...詳細を見る",ラーメン
黒黒黒,3.43,16283,108,"TikTokで高円寺のグルメ情報を調べたらやたら出てくる『黒黒黒』と書いてミクロさんへ訪問。
予約しないで18時の開店と共に突撃したらギリギリ最後の席に滑り込めました。
やはり確実に食べたい時は予約が必須な人気店ですね汗

店内はほぼ20代の女の子ばかりで40台な我々はアウェー感を覚えつつも...詳細を見る | 高円寺でみんなで飲んだ2軒目。
深0時を過ぎる頃にやってきたこちら。
高円寺らしい若者が楽しげに飲みながら飯食う！という感じ。

流行りのネオ中華ぽいが、食べ応えありな食欲...詳細を見る | 「煮豚・メンマ・味玉ハーフ／麻辣よだれ白子／皿海老ワンタン／五目焼き飯」
高円寺から徒歩５分程度にあるノスタルジックな演出をした中華系大衆居酒屋。

SNSで紹介されているの...詳細を見る",居酒屋、ラーメン、中華料理
じゃがいも,3.31,552,41,"一昨年の今頃に横浜、馬車道で偶然に食した
ヴィクトリア・カツレツ。
初めて行った、その店は昨年末惜しくも閉店
してしまったが、その後アチコチ探し回った
結果、閉店した店を含...詳細を見る | https://youtu.be/T6nnwS9ZRSs
↑YouTubeはこちら。


またまた東村山市。
昼時。
(2021年12月11日)。

僕は前日の失敗...詳細を見る | 東村山駅からかなり離れた府中街道沿い
日替り定食とラーメンののぼりが
目に入る老舗洋食屋さん。
一見弁当屋さんかと思うが店内は懐かしの洋食屋。
弁当との二刀流なので定食も充...詳細を見る",洋食、弁当、ラーメン
汁なし担担麺専門 キング軒  神田スタンド,3.33,3153,169,"広島出身の「キング軒」。広島流の汁なし担々麺だけの専門店でたまに不思議と食べたくなっちゃう。
神田のＪＲの線路に下にお店があってやってきてみる。
お店の表、入り口脇に券売機。店...詳細を見る | ・汁なし担々麺　¥700税込
・半ライス　¥80税込

JR神田駅から徒歩数分のところにある担々麺専門店。
キング軒って知る人ぞ知るって感じですよね。
こちら神田スタンド...詳細を見る | たまに無性に食べたくなるこの味。
遅くまで空いてるのが都内だとこの神田スタンドなのでちょいちょい来ています。

平日の19時35分に訪問。空き席2。
3辛大盛り＋ネギ、セロ...詳細を見る",汁なし担々麺、ラーメン、食堂
創造中華 華星,3.21,723,38,"この日は平日ランチで、パートナーと暑かったので冷やしメニューを求めて、創造中華華星に行ってきました。

キャロットタワーの地下階にあるグルメフロアの1つで今まで行ったことなかっ...詳細を見る | 2021年の最初にレビューするお店です

仕事終わりの三軒茶屋、ラーメンでも食べて帰ろうと思って駅周辺をウロウロと…
めっちゃ寒い外を避けてたどり着いたのはキャロットタワーの...詳細を見る | ついつい地上のお店ばかりに目が行ってしまう三軒茶屋駅ですが、キャロットタワー地下にも駅直結で飲食店があります。
今回はこちらの中華でサク飲みです。
麻婆豆腐(大辛)
小エビの...詳細を見る",中華料理、居酒屋、刀削麺
蜂宴,3.34,863,43,"地下鉄新宿御苑前駅から徒歩3〜4分程にあるこちらの町中華料理屋に行ってきました。

平日の仕事中、昼ごはんを食べたのに夕方頃、町中華が非常に食べたくなりなんか良さげな良いお店が...詳細を見る | 「はい、もうお終い !　もうお終い !」
「違うよ !　違うんだよ !」

ミッドホースと二人だったので珍しくボックス席。
隣の椅子に腕一本、オートバイのサイドスタンドのよ...詳細を見る | 新宿御苑前駅付近は、ちょっとしたグルメタウン化しており、昼休み時になると方々で行列が見られます。

しかし、少し人気のいない路地に入ると、古き昭和の時代にタイムスリップしたかの...詳細を見る",中華料理、ラーメン、居酒屋
